,stim_squence,violation_type,stimulus_id,n_sample,epsilon
0,BB,animacy,0,125.65319343065694,0.01
1,BB,animacy,1,11.032223060954896,0.01
2,BBBB,animacy,0,123.06311548791406,0.01
3,BBBB,animacy,1,10.864091161756532,0.01
4,BBBB,animacy,2,8.2502445158586,0.01
5,BBBB,animacy,3,7.079842748163055,0.01
6,BBBBBB,animacy,0,124.2917889908257,0.01
7,BBBBBB,animacy,1,10.5126867441309,0.01
8,BBBBBB,animacy,2,8.149678034819939,0.01
9,BBBBBB,animacy,3,6.922339405560882,0.01
10,BBBBBB,animacy,4,6.20362165286072,0.01
11,BBBBBB,animacy,5,5.727848407212259,0.01
12,BBBBBD,animacy,0,111.418,0.001
13,BBBBBD,animacy,0,126.3660577740017,0.01
14,BBBBBD,animacy,1,8.012072434607646,0.001
15,BBBBBD,animacy,1,10.070480126626803,0.01
16,BBBBBD,animacy,2,6.424242424242424,0.001
17,BBBBBD,animacy,2,7.891053677932406,0.01
18,BBBBBD,animacy,3,5.555780933062881,0.001
19,BBBBBD,animacy,3,6.787077305405165,0.01
20,BBBBBD,animacy,4,5.181262729124236,0.001
21,BBBBBD,animacy,4,6.137868056483585,0.01
22,BBBBBD,animacy,5,41.43469387755102,0.001
23,BBBBBD,animacy,5,39.59088876967096,0.01
24,BBBBBD,identity,0,105.55416666666666,0.001
25,BBBBBD,identity,0,123.9600166251039,0.01
26,BBBBBD,identity,1,8.996871741397289,0.001
27,BBBBBD,identity,1,10.682529447167054,0.01
28,BBBBBD,identity,2,6.876955161626695,0.001
29,BBBBBD,identity,2,8.097401755220266,0.01
30,BBBBBD,identity,3,5.936392075078206,0.001
31,BBBBBD,identity,3,6.885683250054313,0.01
32,BBBBBD,identity,4,5.47907949790795,0.001
33,BBBBBD,identity,4,6.250305463431664,0.01
34,BBBBBD,identity,5,46.01150627615063,0.001
35,BBBBBD,identity,5,45.8587023235423,0.01
36,BBBBBD,number,0,104.73207547169811,0.001
37,BBBBBD,number,0,126.25328498293516,0.01
38,BBBBBD,number,1,9.637653736991485,0.001
39,BBBBBD,number,1,10.613691607371724,0.01
40,BBBBBD,number,2,7.088068181818182,0.001
41,BBBBBD,number,2,8.21126260158991,0.01
42,BBBBBD,number,3,6.3975332068311195,0.001
43,BBBBBD,number,3,6.99258597588209,0.01
44,BBBBBD,number,4,5.751901140684411,0.001
45,BBBBBD,number,4,6.27052012745142,0.01
46,BBBBBD,number,5,32.502851711026615,0.001
47,BBBBBD,number,5,42.23824338338068,0.01
48,BBBBBD,pose,0,108.6875,0.001
49,BBBBBD,pose,0,123.64063559322034,0.01
50,BBBBBD,pose,1,8.791706846673096,0.001
51,BBBBBD,pose,1,10.754578112678525,0.01
52,BBBBBD,pose,2,6.686293436293436,0.001
53,BBBBBD,pose,2,8.240274901978061,0.01
54,BBBBBD,pose,3,5.921663442940039,0.001
55,BBBBBD,pose,3,7.046293427749502,0.01
56,BBBBBD,pose,4,5.517441860465116,0.001
57,BBBBBD,pose,4,6.315829257447755,0.01
58,BBBBBD,pose,5,43.3488824101069,0.001
59,BBBBBD,pose,5,44.74943082898085,0.01
60,BBBD,animacy,0,104.7546875,0.001
61,BBBD,animacy,0,123.97145922746782,0.01
62,BBBD,animacy,1,8.800627943485086,0.001
63,BBBD,animacy,1,10.870570450402383,0.01
64,BBBD,animacy,2,6.93563579277865,0.001
65,BBBD,animacy,2,8.217972206086063,0.01
66,BBBD,animacy,3,48.29199372056515,0.001
67,BBBD,animacy,3,49.93395336298693,0.01
68,BBBD,identity,0,111.41363636363636,0.001
69,BBBD,identity,0,125.51633416458853,0.01
70,BBBD,identity,1,9.742857142857142,0.001
71,BBBD,identity,1,10.437728701192475,0.01
72,BBBD,identity,2,7.14908256880734,0.001
73,BBBD,identity,2,7.976118369819157,0.01
74,BBBD,identity,3,52.00344431687715,0.001
75,BBBD,identity,3,53.69421379820024,0.01
76,BBBD,number,0,110.434,0.001
77,BBBD,number,0,125.88081650570676,0.01
78,BBBD,number,1,8.891348088531187,0.001
79,BBBD,number,1,10.675999271601565,0.01
80,BBBD,number,2,6.946572580645161,0.001
81,BBBD,number,2,8.185517462351811,0.01
82,BBBD,number,3,48.55241935483871,0.001
83,BBBD,number,3,49.80117793217688,0.01
84,BBBD,pose,0,115.39903846153847,0.001
85,BBBD,pose,0,125.68778761061947,0.01
86,BBBD,pose,1,9.00096618357488,0.001
87,BBBD,pose,1,10.302769117916743,0.01
88,BBBD,pose,2,7.326570048309179,0.001
89,BBBD,pose,2,8.049276297593805,0.01
90,BBBD,pose,3,38.29428848015489,0.001
91,BBBD,pose,3,49.0431218156554,0.01
92,BD,animacy,0,115.63510638297872,0.001
93,BD,animacy,0,124.75338842975206,0.01
94,BD,animacy,1,65.37152034261241,0.001
95,BD,animacy,1,63.525717217495405,0.01
96,BD,identity,0,108.6076923076923,0.001
97,BD,identity,0,126.6070707070707,0.01
98,BD,identity,1,70.62516046213094,0.001
99,BD,identity,1,57.03286343996858,0.01
100,BD,number,0,113.73275862068965,0.001
101,BD,number,0,126.18633034987795,0.01
102,BD,number,1,58.37608318890815,0.001
103,BD,number,1,51.06792071708118,0.01
104,BD,pose,0,114.81875,0.001
105,BD,pose,0,125.22072538860104,0.01
106,BD,pose,1,58.96956977964323,0.001
107,BD,pose,1,49.03053878828527,0.01
